mp3_path	clip_id	track_number	title	artist	album	url	segmentStart	segmentEnd	original_url
0/american_bach_soloists-j_s__bach__cantatas_volume_v-04-gleichwie_der_regen_und_schnee_vom_himmel_fallt_bwv_18_iv_aria__mein_seelenschatz_ist_gottes_wort-146-175.mp3	16244	4	-Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ IV Aria - Mein Seelenschatz ist Gottes Wort-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	146	175	http://he3.magnatune.com/all/04--Gleichwie%20der%20Regen%20und%20Schnee%20vom%20Himmel%20fallt%20BWV%2018_%20IV%20Aria%20-%20Mein%20Seelenschatz%20ist%20Gottes%20Wort--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-06-weinen_klagen_sorgen_zagen_bwv_12_i_sinfonia-88-117.mp3	25637	6	-Weinen Klagen Sorgen Zagen BWV 12_ I Sinfonia-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	88	117	http://he3.magnatune.com/all/06--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20I%20Sinfonia--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-07-weinen_klagen_sorgen_zagen_bwv_12_ii_chorus__weinen_klagen_sorgen_zagen-262-291.mp3	30129	7	-Weinen Klagen Sorgen Zagen BWV 12_ II Chorus - Weinen Klagen Sorgen Zagen-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	262	291	http://he3.magnatune.com/all/07--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20II%20Chorus%20-%20Weinen%20Klagen%20Sorgen%20Zagen--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-08-weinen_klagen_sorgen_zagen_bwv_12_iii_recitative__wir_mussen_durch_viel_truebsal-0-29.mp3	34405	8	-Weinen Klagen Sorgen Zagen BWV 12_ III Recitative - Wir mussen durch viel Truebsal-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	0	29	http://he3.magnatune.com/all/08--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20III%20Recitative%20-%20Wir%20mussen%20durch%20viel%20Truebsal--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-09-weinen_klagen_sorgen_zagen_bwv_12_iv_aria__kreuz_und_krone_sind_verbunden-59-88.mp3	38391	9	-Weinen Klagen Sorgen Zagen BWV 12_ IV Aria - Kreuz und Krone sind verbunden-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	59	88	http://he3.magnatune.com/all/09--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20IV%20Aria%20-%20Kreuz%20und%20Krone%20sind%20verbunden--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-10-weinen_klagen_sorgen_zagen_bwv_12_v_aria__ich_folge_christo_nach-88-117.mp3	41828	10	-Weinen Klagen Sorgen Zagen BWV 12_ V Aria - Ich folge Christo nach-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	88	117	http://he3.magnatune.com/all/10--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20V%20Aria%20-%20Ich%20folge%20Christo%20nach--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-11-weinen_klagen_sorgen_zagen_bwv_12_vi_aria__sei_getreu-88-117.mp3	44927	11	-Weinen Klagen Sorgen Zagen BWV 12_ VI Aria - Sei getreu-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	88	117	http://he3.magnatune.com/all/11--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20VI%20Aria%20-%20Sei%20getreu--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-13-nun_komm_der_heiden_heiland_bwv_61_i_ouverture__nun_komm_der_heiden_heiland-59-88.mp3	49435	13	-Nun komm der Heiden Heiland BWV 61_ I Ouverture - Nun komm der Heiden Heiland-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	59	88	http://he3.magnatune.com/all/13--Nun%20komm%20der%20Heiden%20Heiland%20BWV%2061_%20I%20Ouverture%20-%20Nun%20komm%20der%20Heiden%20Heiland--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-14-nun_komm_der_heiden_heiland_bwv_61_ii_recitative__der_heiland_ist_gekommen-30-59.mp3	51060	14	-Nun komm der Heiden Heiland BWV 61_ II Recitative - Der Heiland ist gekommen-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	30	59	http://he3.magnatune.com/all/14--Nun%20komm%20der%20Heiden%20Heiland%20BWV%2061_%20II%20Recitative%20-%20Der%20Heiland%20ist%20gekommen--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-15-nun_komm_der_heiden_heiland_bwv_61_iii_aria__komm_jesu_komm_zu_deiner_kirche-117-146.mp3	52343	15	-Nun komm der Heiden Heiland BWV 61_ III Aria - Komm Jesu komm zu deiner Kirche-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	117	146	http://he3.magnatune.com/all/15--Nun%20komm%20der%20Heiden%20Heiland%20BWV%2061_%20III%20Aria%20-%20Komm%20Jesu%20komm%20zu%20deiner%20Kirche--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-16-nun_komm_der_heiden_heiland_bwv_61_iv_recitative__siehe_ich_stehe_vor_der_tur-30-59.mp3	53426	16	-Nun komm der Heiden Heiland BWV 61_ IV Recitative - Siehe ich stehe vor der Tur-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	30	59	http://he3.magnatune.com/all/16--Nun%20komm%20der%20Heiden%20Heiland%20BWV%2061_%20IV%20Recitative%20-%20Siehe%20ich%20stehe%20vor%20der%20Tur--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-17-nun_komm_der_heiden_heiland_bwv_61_v_aria__offne_dich_mein_ganzes_herze-117-146.mp3	54238	17	-Nun komm der Heiden Heiland BWV 61_ V Aria - Offne dich mein ganzes Herze-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	117	146	http://he3.magnatune.com/all/17--Nun%20komm%20der%20Heiden%20Heiland%20BWV%2061_%20V%20Aria%20-%20Offne%20dich%20mein%20ganzes%20Herze--ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-01-kyrie_eleison-204-233.mp3	2320	1	Kyrie eleison	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	204	233	http://he3.magnatune.com/all/01-Kyrie%20eleison-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-02-christe_eleison-204-233.mp3	6536	2	Christe eleison	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	204	233	http://he3.magnatune.com/all/02-Christe%20eleison-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-04-gloria_in_excelsis_deo-59-88.mp3	17802	4	Gloria in excelsis Deo	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	59	88	http://he3.magnatune.com/all/04-Gloria%20in%20excelsis%20Deo-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-05-et_in_terra_pax-204-233.mp3	22247	5	Et in terra pax	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	204	233	http://he3.magnatune.com/all/05-Et%20in%20terra%20pax-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-06-laudamus_te-117-146.mp3	27660	6	Laudamus te	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	117	146	http://he3.magnatune.com/all/06-Laudamus%20te-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-07-gratias_agimus_tibi-88-117.mp3	31697	7	Gratias agimus tibi	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	88	117	http://he3.magnatune.com/all/07-Gratias%20agimus%20tibi-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-08-domine_deus-117-146.mp3	35227	8	Domine Deus	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	117	146	http://he3.magnatune.com/all/08-Domine%20Deus-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-09-qui_tollis_peccata_mundi-0-29.mp3	40562	9	Qui tollis peccata mundi	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	0	29	http://he3.magnatune.com/all/09-Qui%20tollis%20peccata%20mundi-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-10-qui_sedes_ad_dextram_patris-204-233.mp3	43860	10	Qui sedes ad dextram Patris	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	204	233	http://he3.magnatune.com/all/10-Qui%20sedes%20ad%20dextram%20Patris-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-11-quoniam_to_solus_sanctus-88-117.mp3	46569	11	Quoniam to solus sanctus	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	88	117	http://he3.magnatune.com/all/11-Quoniam%20to%20solus%20sanctus-ABS.mp3
4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-12-cum_sancto_spiritu-146-175.mp3	47809	12	Cum Sancto Spiritu	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	146	175	http://he3.magnatune.com/all/12-Cum%20Sancto%20Spiritu-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-01-credo_in_unum_deum-30-59.mp3	1092	1	Credo in unum Deum	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	30	59	http://he3.magnatune.com/all/01-Credo%20in%20unum%20Deum-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-02-patrem_omnipotentem-88-117.mp3	8855	2	Patrem omnipotentem	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	88	117	http://he3.magnatune.com/all/02-Patrem%20omnipotentem-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-03-et_in_unum_dominum-30-59.mp3	12825	3	Et in unum Dominum	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	30	59	http://he3.magnatune.com/all/03-Et%20in%20unum%20Dominum-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-04-et_incarnatus_est-30-59.mp3	17533	4	Et incarnatus est	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	30	59	http://he3.magnatune.com/all/04-Et%20incarnatus%20est-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-05-crucifixus-88-117.mp3	21921	5	Crucifixus	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	88	117	http://he3.magnatune.com/all/05-Crucifixus-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-06-et_resurrexit-204-233.mp3	26979	6	Et resurrexit	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	204	233	http://he3.magnatune.com/all/06-Et%20resurrexit-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-07-et_in_spiritum_sanctum_dominum-291-320.mp3	31416	7	Et in Spiritum sanctum Dominum	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	291	320	http://he3.magnatune.com/all/07-Et%20in%20Spiritum%20sanctum%20Dominum-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-08-confiteor-117-146.mp3	35092	8	Confiteor	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	117	146	http://he3.magnatune.com/all/08-Confiteor-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-09-et_expecto-30-59.mp3	39181	9	Et expecto	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	30	59	http://he3.magnatune.com/all/09-Et%20expecto-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-10-sanctus-0-29.mp3	44002	10	Sanctus	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	0	29	http://he3.magnatune.com/all/10-Sanctus-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-11-osanna_in_exelsis-117-146.mp3	46366	11	Osanna in exelsis	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	117	146	http://he3.magnatune.com/all/11-Osanna%20in%20exelsis-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-12-benedictus-204-233.mp3	47681	12	Benedictus	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	204	233	http://he3.magnatune.com/all/12-Benedictus-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-13-osanna_in_excelsis-88-117.mp3	50327	13	Osanna in excelsis	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	88	117	http://he3.magnatune.com/all/13-Osanna%20in%20excelsis-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-14-agnus_dei-0-29.mp3	51091	14	Agnus Dei	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	0	29	http://he3.magnatune.com/all/14-Agnus%20Dei-ABS.mp3
7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-15-dona_nobis_pacem-175-204.mp3	52586	15	Dona nobis pacem	American Bach Soloists	J.S. Bach - Mass in B Minor CD2	http://www.magnatune.com/artists/albums/abs-bachmasscd2/	175	204	http://he3.magnatune.com/all/15-Dona%20nobis%20pacem-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-01-concerto_in_a_minor_for_four_harpsichords_bwv_1065_i_allegro-59-88.mp3	1039	1	Concerto in A Minor for Four Harpsichords BWV 1065_ I Allegro	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	59	88	http://he3.magnatune.com/all/01-Concerto%20in%20A%20Minor%20for%20Four%20Harpsichords%20BWV%201065_%20I%20Allegro-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-02-concerto_in_a_minor_for_four_harpsichords_bwv_1065_ii_largo-88-117.mp3	6678	2	Concerto in A Minor for Four Harpsichords BWV 1065_ II Largo	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	88	117	http://he3.magnatune.com/all/02-Concerto%20in%20A%20Minor%20for%20Four%20Harpsichords%20BWV%201065_%20II%20Largo-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-03-concerto_in_a_minor_for_four_harpsichords_bwv_1065_iii_allegro-117-146.mp3	12291	3	Concerto in A Minor for Four Harpsichords BWV 1065_ III Allegro	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	117	146	http://he3.magnatune.com/all/03-Concerto%20in%20A%20Minor%20for%20Four%20Harpsichords%20BWV%201065_%20III%20Allegro-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-04-psalm_51_tilge_hochster_meine_sunden_i_largo_verse_1-88-117.mp3	19161	4	Psalm 51_ Tilge Hochster meine Sunden_ I Largo Verse 1	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	88	117	http://he3.magnatune.com/all/04-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20I%20Largo%20Verse%201-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-05-psalm_51_tilge_hochster_meine_sunden_ii_andante_verse_2-88-117.mp3	23953	5	Psalm 51_ Tilge Hochster meine Sunden_ II Andante Verse 2	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	88	117	http://he3.magnatune.com/all/05-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20II%20Andante%20Verse%202-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-06-psalm_51_tilge_hochster_meine_sunden_iii_larghetto_verse_3-59-88.mp3	28533	6	Psalm 51_ Tilge Hochster meine Sunden_ III Larghetto Verse 3	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	59	88	http://he3.magnatune.com/all/06-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20III%20Larghetto%20Verse%203-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-07-psalm_51_tilge_hochster_meine_sunden_iv_andante_verse_4-0-29.mp3	32893	7	Psalm 51_ Tilge Hochster meine Sunden_ IV Andante Verse 4	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	0	29	http://he3.magnatune.com/all/07-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20IV%20Andante%20Verse%204-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-08-psalm_51_tilge_hochster_meine_sunden_v_largo_verses_5_and_6-88-117.mp3	36997	8	Psalm 51_ Tilge Hochster meine Sunden_ V Largo Verses 5 and 6	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	88	117	http://he3.magnatune.com/all/08-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20V%20Largo%20Verses%205%20and%206-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-10-psalm_51_tilge_hochster_meine_sunden_vii_verse_8-175-204.mp3	43805	10	Psalm 51_ Tilge Hochster meine Sunden_ VII Verse 8	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	175	204	http://he3.magnatune.com/all/10-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20VII%20Verse%208-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-11-psalm_51_tilge_hochster_meine_sunden_viii_verse_9-88-117.mp3	46553	11	Psalm 51_ Tilge Hochster meine Sunden_ VIII Verse 9	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	88	117	http://he3.magnatune.com/all/11-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20VIII%20Verse%209-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-12-psalm_51_tilge_hochster_meine_sunden_ix_allabreve_verse_10-88-117.mp3	48699	12	Psalm 51_ Tilge Hochster meine Sunden_ IX Allabreve Verse 10	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	88	117	http://he3.magnatune.com/all/12-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20IX%20Allabreve%20Verse%2010-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-13-psalm_51_tilge_hochster_meine_sunden_x_andante_verses_11_through_15-204-233.mp3	50474	13	Psalm 51_ Tilge Hochster meine Sunden_ X Andante Verses 11 through 15	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	204	233	http://he3.magnatune.com/all/13-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20X%20Andante%20Verses%2011%20through%2015-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-14-psalm_51_tilge_hochster_meine_sunden_xi_adagio_spirizuoso_verse_16-88-117.mp3	51798	14	Psalm 51_ Tilge Hochster meine Sunden_ XI Adagio spirizuoso Verse 16	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	88	117	http://he3.magnatune.com/all/14-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20XI%20Adagio%20spirizuoso%20Verse%2016-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-15-psalm_51_tilge_hochster_meine_sunden_xii_largo_verses_17_and_18-88-117.mp3	53049	15	Psalm 51_ Tilge Hochster meine Sunden_ XII Largo Verses 17 and 18	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	88	117	http://he3.magnatune.com/all/15-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20XII%20Largo%20Verses%2017%20and%2018-ABS.mp3
0/american_bach_soloists-j_s__bach__transcriptions_of_italian_music-17-psalm_51_tilge_hochster_meine_sunden_xiv_allabreve-59-88.mp3	54668	17	Psalm 51_ Tilge Hochster meine Sunden_ XIV Allabreve	American Bach Soloists	J.S. Bach - Transcriptions of Italian Music	http://www.magnatune.com/artists/albums/abs-transcriptions/	59	88	http://he3.magnatune.com/all/17-Psalm%2051_%20Tilge%20Hochster%20meine%20Sunden_%20XIV%20Allabreve-ABS.mp3
0/american_bach_soloists-joseph_haydn__masses-01-kyrie__allegro_moderato-30-59.mp3	2304	1	Kyrie - Allegro moderato	American Bach Soloists	Joseph Haydn - Masses	http://www.magnatune.com/artists/albums/abs-haydnmasses/	30	59	http://he3.magnatune.com/all/01-Kyrie%20-%20Allegro%20moderato-ABS.mp3
0/american_bach_soloists-joseph_haydn__masses-02-gloria__allegro-146-175.mp3	7574	2	Gloria - Allegro	American Bach Soloists	Joseph Haydn - Masses	http://www.magnatune.com/artists/albums/abs-haydnmasses/	146	175	http://he3.magnatune.com/all/02-Gloria%20-%20Allegro-ABS.mp3
0/american_bach_soloists-joseph_haydn__masses-03-qui_tollis__adagio-204-233.mp3	14559	3	Qui tollis - Adagio	American Bach Soloists	Joseph Haydn - Masses	http://www.magnatune.com/artists/albums/abs-haydnmasses/	204	233	http://he3.magnatune.com/all/03-Qui%20tollis%20-%20Adagio-ABS.mp3
